Size (inputs)	Column Size (inputs)	Row Size (inputs)	Rows	Executors	Partitions per RDD	Cores per executor	GB RAM per executor	FFT (sec)
4	2	2	2	1	1	8	12	0.158800916
4	2	2	2	1	1	8	12	0.169119792
4	2	2	2	1	1	8	12	0.175415917
1024	32	32	32	1	1	8	12	0.329282125
1024	32	32	32	1	1	8	12	0.37187125
16384	128	128	128	1	1	8	12	1.643836167
16384	128	128	128	1	1	8	12	2.432689208
16384	128	128	128	1	1	8	12	2.613725625
16384	128	128	128	1	1	8	12	3.049047375
16384	128	128	128	1	1	8	12	1.552472834
16384	128	128	128	1	1	8	12	1.488906125
1024	32	32	32	1	1	8	12	0.399298416
1024	32	32	32	1	1	8	12	0.385633333
1024	32	32	32	1	1	8	12	0.39054175
